time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-11T21:16:05.570Z,19.2401676177979,-155.394165039062,30.6200008392334,2.1,ml,36,156,,0.119999997,hv,hv73397027,2023-05-11T21:21:36.600Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.53,0.629999995,0.38,6,automatic,hv,hv
2023-05-11T20:34:54.570Z,19.3976666666667,-156.051666666667,29.07,2.33,md,30,229,,0.13,hv,hv73396977,2023-05-11T22:10:37.830Z,"17 km SW of Captain Cook, Hawaii",earthquake,0.61,0.98,0.123593690292103,12,reviewed,hv,hv
2023-05-11T20:12:50.124Z,37.3364,-117.1525,3.7,1.1,ml,13,149.71,0.393,0.4243,nn,nn00859368,2023-05-11T20:15:49.063Z,"41 km S of Goldfield, Nevada",earthquake,,12.5,1.01,10,automatic,nn,nn
2023-05-11T20:01:59.804Z,37.3195,-117.1544,6.5,1.3,ml,17,122.26,0.087,0.1737,nn,nn00859364,2023-05-11T21:28:51.840Z,"43 km S of Goldfield, Nevada",earthquake,,3.4,1,9,reviewed,nn,nn
2023-05-11T19:56:33.662Z,37.3199,-117.1505,12.4,1.6,ml,21,122.51,0.09,0.1555,nn,nn00859359,2023-05-11T20:39:21.854Z,"California-Nevada border region",earthquake,,1.7,1.04,12,reviewed,nn,nn
2023-05-11T19:43:30.170Z,57.7335,-156.349333333333,24.14,1.3,ml,6,220,,0.15,av,av91883056,2023-05-11T21:03:52.650Z,"67 km ENE of Ugashik, Alaska",earthquake,1.21,0.53,0.162413825532752,6,reviewed,av,av
2023-05-11T19:41:50.690Z,38.8240013,-122.7883301,-0.29,1.1,md,14,56,0.01228,0.1,nc,nc73886661,2023-05-11T20:18:13.028Z,"6km W of Cobb, CA",earthquake,0.25,0.61,0.1,16,automatic,nc,nc
2023-05-11T19:41:30.580Z,38.822834,-122.7904968,1.25,1.47,md,24,38,0.01225,0.02,nc,nc73886656,2023-05-11T20:08:11.972Z,"6km W of Cobb, CA",earthquake,0.18,0.33,0.18,26,automatic,nc,nc
2023-05-11T19:29:42.380Z,39.1935,-123.4485,5.88,1.66,md,19,70,0.0621,0.08,nc,nc73886651,2023-05-11T23:53:14.331Z,"21km WNW of Ukiah, CA",earthquake,0.17,0.58,0.178,22,reviewed,nc,nc
2023-05-11T19:29:20.560Z,33.8586667,-117.4838333,-0.56,1.46,ml,33,49,0.0523,0.23,ci,ci40223079,2023-05-11T19:57:08.567Z,"4km ESE of Home Gardens, CA",quarry blast,0.37,31.61,0.154,26,reviewed,ci,ci
